Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,TCR Signaling R-HSA-202403,3/116,0.1105391091889974,0.2088277500915853,0,0,2.6531153137774584,5.843183735135943,PSMA5;PSMD14;PSMC2
Reactome_2022,Signaling By ERBB4 R-HSA-1236394,2/57,0.111218880351375,0.2095718233870382,0,0,3.6262626262626254,7.964197874788815,SPARC;EGF
Reactome_2022,PECAM1 Interactions R-HSA-210990,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,ITGB3
Reactome_2022,CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,PRKAR2B
Reactome_2022,Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,CASP3
Reactome_2022,Scavenging Of Heme From Plasma R-HSA-2168880,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,APOL1
Reactome_2022,GRB2 Events In EGFR Signaling R-HSA-179812,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,EGF
Reactome_2022,HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,FEN1
Reactome_2022,Hyaluronan Uptake And Degradation R-HSA-2160916,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,HMMR
Reactome_2022,Interleukin-2 Signaling R-HSA-9020558,1/12,0.1136443487055952,0.2098269712876607,0,0,9.040201005025123,19.659557478207127,JAK3
Reactome_2022,RHOQ GTPase Cycle R-HSA-9013406,2/59,0.1177356082636544,0.2162912302186936,0,0,3.4986709197235517,7.484754897547597,CAV1;IQGAP3
Reactome_2022,GABA Receptor Activation R-HSA-977443,2/59,0.1177356082636544,0.2162912302186936,0,0,3.4986709197235517,7.484754897547597,KCNJ10;GNG11
Reactome_2022,Nucleotide Biosynthesis R-HSA-8956320,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,GART
Reactome_2022,"PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471",1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,ELMO2
Reactome_2022,Apoptosis Induced DNA Fragmentation R-HSA-140342,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,CASP3
Reactome_2022,Cytochrome C-Mediated Apoptotic Response R-HSA-111461,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,CASP3
Reactome_2022,SHC1 Events In EGFR Signaling R-HSA-180336,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,EGF
Reactome_2022,ERBB2 Activates PTK6 Signaling R-HSA-8847993,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,EGF
Reactome_2022,Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,1/13,0.1225132126107664,0.2211876473982556,0,0,8.28643216080402,17.397665920944878,E2F1
Reactome_2022,Signaling By BRAF And RAF1 Fusions R-HSA-6802952,2/62,0.1276839186856092,0.2299565415148687,0,0,3.323232323232323,6.839868307696459,ITGB3;ITGA2B
Reactome_2022,Constitutive Signaling By EGFRvIII R-HSA-5637810,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,EGF
Reactome_2022,DCC Mediated Attractive Signaling R-HSA-418885,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,ABLIM3
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,BIRC5
Reactome_2022,Interleukin-15 Signaling R-HSA-8983432,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,JAK3
Reactome_2022,Leading Strand Synthesis R-HSA-69109,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,PCNA
Reactome_2022,Mismatch Repair (MMR) Directed By MSH2:MSH3 (MutSbeta) R-HSA-5358606,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,PCNA
Reactome_2022,Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565,1/14,0.1312937743788508,0.2324597502891247,0,0,7.648627754155393,15.529145947074284,PCNA
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,4/196,0.1338866309236116,0.2364792782337525,0,0,2.084183673469388,4.19079707112378,CXCL9;KEL;PPBP;PF4
Reactome_2022,Activation Of BAD And Translocation To Mitochondria R-HSA-111447,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,YWHAE
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,EGF
Reactome_2022,EPHA-mediated Growth Cone Collapse R-HSA-3928663,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,MYL9
Reactome_2022,ERBB2 Regulates Cell Motility R-HSA-6785631,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,EGF
Reactome_2022,Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,BCL2L1
Reactome_2022,Elevation Of Cytosolic Ca2+ Levels R-HSA-139853,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,P2RX7
Reactome_2022,GRB2 Events In ERBB2 Signaling R-HSA-1963640,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,EGF
Reactome_2022,cGMP Effects R-HSA-418457,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,PDE5A
Reactome_2022,Metabolism Of Nitric Oxide: NOS3 Activation And Regulation R-HSA-202131,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,CAV1
Reactome_2022,Mismatch Repair R-HSA-5358508,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,PCNA
Reactome_2022,Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470,1/15,0.139986908731619,0.2408694931931379,0,0,7.101938262742283,13.963876250165317,KREMEN1
Reactome_2022,Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,3/130,0.1415370182821212,0.2423986785065301,0,0,2.3589671849394462,4.612238445645575,PSMA5;PSMD14;PSMC2
Reactome_2022,Host Interactions Of HIV Factors R-HSA-162909,3/130,0.1415370182821212,0.2423986785065301,0,0,2.3589671849394462,4.612238445645575,PSMA5;PSMD14;PSMC2
Reactome_2022,Organelle Biogenesis And Maintenance R-HSA-1852241,5/275,0.1423260201169462,0.2431817546520316,0,0,1.8547008547008548,3.6159895833650615,YWHAE;PRKAR2B;SMOX;NEK2;TUBG1
Reactome_2022,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,2/67,0.1446753520694938,0.2466210071324162,0,0,3.0668220668220667,5.928973623253177,PCNA;RAD51
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,EGF
Reactome_2022,PKA Activation In Glucagon Signaling R-HSA-164378,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,PRKAR2B
Reactome_2022,Cell-extracellular Matrix Interactions R-HSA-446353,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,LIMS1
Reactome_2022,Early Phase Of HIV Life Cycle R-HSA-162594,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,FEN1
Reactome_2022,NLRP3 Inflammasome R-HSA-844456,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,P2RX7
Reactome_2022,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,E2F1
Reactome_2022,Translesion Synthesis By REV1 R-HSA-110312,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,PCNA
Reactome_2022,Hyaluronan Metabolism R-HSA-2142845,1/16,0.1485934818111902,0.2486735665926996,0,0,6.628140703517588,12.636822082241835,HMMR
Reactome_2022,Cell Surface Interactions At Vascular Wall R-HSA-202733,3/134,0.1508793106612941,0.2519237692818419,0,0,2.286472662455923,4.32434865075451,CAV1;ITGB3;PF4
Reactome_2022,Signaling By GPCR R-HSA-372790,10/689,0.1538081388302001,0.2562303767330379,0,0,1.482133167971475,2.774626367076153,RGS18;CXCL9;KEL;PRKAR2B;SMOX;PPBP;ECT2;GNG11;RGS6;PF4
Reactome_2022,PKA Activation R-HSA-163615,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,PRKAR2B
Reactome_2022,FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,CAV1
Reactome_2022,Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,LMNB1
Reactome_2022,GAB1 Signalosome R-HSA-180292,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,EGF
Reactome_2022,Translesion Synthesis By POLI R-HSA-5656121,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,PCNA
Reactome_2022,Translesion Synthesis By POLK R-HSA-5655862,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,PCNA
Reactome_2022,Vitamin B5 (Pantothenate) Metabolism R-HSA-199220,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,ENPP2
Reactome_2022,Zinc Transporters R-HSA-435354,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,SLC39A8
Reactome_2022,Metabolism Of Folate And Pterines R-HSA-196757,1/17,0.157114351192228,0.2564918027258422,0,0,6.21356783919598,11.499955704952034,MTHFD2
Reactome_2022,PTEN Regulation R-HSA-6807070,3/139,0.1628249548680123,0.2646356805282773,0,0,2.2018512988951926,3.9965352685762503,PSMA5;PSMD14;PSMC2
Reactome_2022,Death Receptor Signaling R-HSA-73887,3/139,0.1628249548680123,0.2646356805282773,0,0,2.2018512988951926,3.9965352685762503,YWHAE;CASP3;ECT2
Reactome_2022,Activation Of SMO R-HSA-5635838,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,SMOX
Reactome_2022,RORA Activates Gene Expression R-HSA-1368082,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,CPT1A
Reactome_2022,Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,EGF
Reactome_2022,Defective GALNT12 Causes CRCS1 R-HSA-5083636,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,MUC1
Reactome_2022,Defective GALNT3 Causes HFTC R-HSA-5083625,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,MUC1
Reactome_2022,G Beta:Gamma Signaling Thru BTK R-HSA-8964315,1/18,0.1655503660358053,0.2655326439917841,0,0,5.847768253029855,10.51709310132786,GNG11
Reactome_2022,RHOG GTPase Cycle R-HSA-9013408,2/74,0.1691768732048807,0.2707568734916541,0,0,2.767676767676768,4.917637208774679,CAV1;ELMO2
Reactome_2022,Clathrin-mediated Endocytosis R-HSA-8856828,3/142,0.1701252400646478,0.2716814835890781,0,0,2.1540006573421464,3.815209920769243,DAB2;CTTN;EGF
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,3/143,0.1725795861644545,0.2735417062723883,0,0,2.1385061638868748,3.7571345929995696,CTSA;MUC1;MPDU1
Reactome_2022,PKA-mediated Phosphorylation Of CREB R-HSA-111931,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,PRKAR2B
Reactome_2022,Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,GNG11
Reactome_2022,RAS Processing R-HSA-9648002,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,BCL2L1
Reactome_2022,RHO GTPases Activate ROCKs R-HSA-5627117,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,MYL9
Reactome_2022,Defective C1GALT1C1 Causes TNPS R-HSA-5083632,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,MUC1
Reactome_2022,Translesion Synthesis By POLH R-HSA-110320,1/19,0.1739023671527052,0.2735417062723883,0,0,5.522613065326633,9.66049300943,PCNA
Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,6/378,0.1788587225053293,0.2807354252599709,0,0,1.6152311273694713,2.780069663858327,CDC20;PSMA5;PSMD14;ITGB5;UBE2C;PSMC2
